objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
scotlandpic001,thumbnail_IMG_6523.jpg,,Glasgow Botanic Gardens Eve Statue,image/jpeg,"Photograph of a statue depicting a reclining nude woman - presumed to be Eve - atop a leafy perch, with hair flowing down and her right hand raised to her cheek, surrounded by live foliage in the Kibble Palace glasshouse at Glasgow Botanic Gardens.","Cash, Makenzie",,2022-06-12,,,"Glasgow Botanic Gardens; Eve; Kibble Palace (Glasgow, Scotland)","Glasgow Botanic Gardens, Glasgow, Scotland",,,,,,,,MC-01,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
scotlandpic002,thumbnail_IMG_6599.jpg,,Glasgow Botanic Gardens Glasshouse,image/jpeg,Photograph of the early 19th century glasshouse in Glasgow Botanic Gardens that houses tropical plants. ,"Cash, Makenzie",,2022-06-12,,,Glasgow Botanic Gardens; Tropical plants; Glasgow (Scotland),"Glasgow Botanic Gardens, Glasgow, Scotland",,,,,,,,MC-02,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image;StillImage,eng,
scotlandpic003,thumbnail_IMG_6605.jpg,,COVID Animal Grafitti,image/jpeg,Photograph of a black-and-white painted mural showing zoo animals carrying signs and protesting in favor of the COVID-19 lockdown.,"Cash, Makenzie",,2022-06-12,,,"Street art; Glasgow (Scotland); COVID-19 Pandemic, 2020-2023, in art","Great Western Road, Hillhead, Glasgow, Scotland",,,,,,,,MC-03,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image;StillImage,eng,
scotlandpic004,thumbnail_IMG_6551.jpg,,The Scott Monument on a Cloudy Day,image/jpeg,"Photograph of the Scott Monument, an iconic Gothic landmark honoring author Sir Walter Scott, as seen from Princes Street Gardens on a cloudy day.","Cash, Makenzie",,2022-06-13,,,"Walter, Scott; Monuments & memorials-Scotland-1900-1910; Edinburgh (Scotland)","Princes Street Gardens, Edinburgh, Scotland",,,,,,,,MC-04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image;StillImage,eng,
scotlandpic005,thumbnail_IMG_6656.jpg,,View of Edinburgh's Old Town from Waverley Bridge,image/jpeg,"Photograph of Edinburgh's Old Town, with its characteristic Gothic architecture, dramatically looming over Waverley Bridge on an overcast day.","Cash, Makenzie",,2022-06-13,,,"Edinburgh (Scotland); Edinburgh (Scotland)-Architecture; Royal Mile (Edinburgh, Scotland)","Waverley Bridge, Edinburgh, Scotland",,,,,,,,MC-05,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
scotlandpic006,thumbnail_IMG_6663.jpg,,"New College, The University of Edinburgh",image/jpeg,Photograph of the University of Edinburgh's New College showing off its distinctive mid-19th century neo-gothic architecure.,"Cash, Makenzie",,2022-06-13,,,New College (University of Edinburgh); University of Edinburgh; Gothic architecture,"New College, The Royal Mile, Edinburgh, Scotland",,,,,,,,MC-06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image;StillImage,eng,
scotlandpic007,thumbnail_IMG_6668.jpg,,The Hub (Formerly known as the Highland Tolbooth Kirk) on a Cloudy Day,image/jpeg,"Photograph of the The Hub (formerly known as the Highland Tolbooth Kirk), a prominent red and black neo-gothic building with a tall spire, making it the highest point in the city of Edinburgh.","Cash, Makenzie",,2022-06-13,,,"Kirk; Church; Royal Mile (Edinburgh, Scotland)","The Royal Mile, Edinburgh, Scotland",,,,,,,,MC-07,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image;StillImage,eng,
scotlandpic008,thumbnail_IMG_6595.jpg,,The Marble Statue of Scott Monument,image/jpeg,"Photograph of the marble statue of author Sir Walter Scott that rests in the base of the Scott Monument, with a seagull flying overhead and sunbeam illuminating the sculpture.","Cash, Makenzie",,2023-06-10,,,"Walter, Scott; Monuments & memorials-Scotland-1900-1910; Edinburgh (Scotland)","Princes Street Gardens, Edinburgh, Scotland",,,,,,,,MC-08,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
scotlandpic009,thumbnail_IMG_6628.jpg,,Victoria Street,image/jpeg,"Photograph of the colorful and winding Victoria Street in the Old Town of Edinburgh, backlit by the setting sun.","Cash, Makenzie",,2023-06-10,,,"Victoria Street (Edinburgh, Scotland); Historic districts; Edinburgh (Scotland)","Victoria Street, Edinburgh, Scotland",,,,,,,,MC-09,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image;StillImage,eng,
scotlandpic010,thumbnail_IMG_6676.jpg,,Chunky Pigeon on the Royal Mile,image/jpeg,Photograph of a well-fed pigeon perched in the pane of a stained glass window on the Royal Mile in Edinburgh.,"Cash, Makenzie",,2023-06-10,,,"Pigeons; Stained glass windows; Royal Mile (Edinburgh, Scotland)","The Royal Mile, Edinburgh, Scotland",,,,,,,,MC-10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image;StillImage,eng,
